term,score
kind,1.6904033172557886
customer,1.6363360959855129
need,1.51855306032913
enjoy,1.3850216677046072
study,1.3850216677046072
customer service,1.3850216677046072
great,1.3609241161255472
new,1.348654023533733
walk,1.3109136955508855
available,1.3109136955508855
sweet,1.3109136955508855
plenty,1.3109136955508855
sandwich,1.3109136955508855
try,1.3109136955508855
sure,1.23087098787735
comfy,1.2308709878773492
pumpkin,1.2308709878773492
baristas,1.1883113734585535
friendly,1.1737125740374008
said,1.143859610887719
makes,1.143859610887719
large,1.143859610887719
usual,1.143859610887719
lol,1.143859610887719
lines,1.143859610887719
thing,1.0973395952528273
latte,1.0485494310833952
got,1.0485494310833952
white,1.0485494310833943
needed,1.0485494310833943
